"['8630211517', '116.0397661', '39.65157727']"
"['8630211517', '116.0397099', '39.65158113']"
"['8630211517', '116.0397661', '39.65157727']"
"['8630211517', '116.0397099', '39.65158113']"
"['8630211517', '116.0397661', '39.65157727']"
"['8630211517', '116.0397099', '39.65158113']"
"['8630211517', '116.0397661', '39.65157727']"
"['8630211517', '116.0397099', '39.65158113']"
"['8630211517', '116.0397661', '39.65157727']"
"['8630211517', '116.0397099', '39.65158113']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106597857', '116.0434004', '39.72474487']"
"['106597857', '116.043271', '39.72470455']"
"['106597857', '116.0434004', '39.72474487']"
"['106597857', '116.043271', '39.72470455']"
"['106597857', '116.0434004', '39.72474487']"
"['106597857', '116.043271', '39.72470455']"
"['106790666', '116.0462018', '39.72435565']"
"['106790666', '116.0462359', '39.72442375']"
"['106790666', '116.0462018', '39.72435565']"
"['106790666', '116.0462359', '39.72442375']"
"['106790666', '116.0462018', '39.72435565']"
"['106790666', '116.0462359', '39.72442375']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['106664290', '116.0378709', '39.78899758']"
"['106664290', '116.037914', '39.78902769']"
"['106664290', '116.0378709', '39.78899758']"
"['106664290', '116.037914', '39.78902769']"
"['106664290', '116.0378709', '39.78899758']"
"['106664290', '116.037914', '39.78902769']"
"['106664290', '116.0378709', '39.78899758']"
"['106664290', '116.037914', '39.78902769']"
"['106664290', '116.0378709', '39.78899758']"
"['106664290', '116.037914', '39.78902769']"
"['106664290', '116.0378709', '39.78899758']"
"['106664290', '116.037914', '39.78902769']"
"['8630971857', '116.0370369', '39.98254963']"
"['8630971857', '116.0368564', '39.98252615']"
"['8630971857', '116.0370369', '39.98254963']"
"['8630971857', '116.0368564', '39.98252615']"
"['106039870', '116.0352673', '39.97967579']"
"['106039870', '116.0352322', '39.97966669']"
"['106039870', '116.0352673', '39.97967579']"
"['106039870', '116.0352322', '39.97966669']"
"['106783507', '116.0365102', '39.98868147']"
"['106783507', '116.0365633', '39.98874562']"
"['106783507', '116.0365102', '39.98868147']"
"['106783507', '116.0365633', '39.98874562']"
"['106500814', '116.0405582', '39.99930348']"
"['106500814', '116.040484', '39.99928729']"
"['106500814', '116.0405582', '39.99930348']"
"['106500814', '116.040484', '39.99928729']"
"['106500814', '116.0405582', '39.99930348']"
"['106500814', '116.040484', '39.99928729']"
"['106500814', '116.0405582', '39.99930348']"
"['106500814', '116.040484', '39.99928729']"
"['106563868', '116.047451', '39.62820068']"
"['106563868', '116.0475562', '39.62774684']"
"['106563868', '116.047451', '39.62820068']"
"['106563868', '116.0475562', '39.62774684']"
"['106563868', '116.047451', '39.62820068']"
"['106563868', '116.0475562', '39.62774684']"
"['106563868', '116.047451', '39.62820068']"
"['106563868', '116.0475562', '39.62774684']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106720320', '116.0431638', '39.70903419']"
"['106720320', '116.0431808', '39.70900523']"
"['106210306', '116.0569777', '39.70945663']"
"['106210306', '116.0569657', '39.70950562']"
"['106210306', '116.0569777', '39.70945663']"
